Patient_ID,EGFR,ERBB2,GRB2,SOS1,KRAS,BRAF,MAPK1,PIK3CA,PTEN,AKT1,MTOR,MYC,PCA_1,PCA_2,Subtype_Cluster
PT-001,8.897371322408986,7.689388559063052,5.518150830480554,6.218423885126421,4.812677300221331,4.812690434440656,6.263370252405913,5.6139477833223275,6.124420491252038,5.434048034868772,4.62926584575003,4.627416197143795,0.74,-2.4,2
PT-002,8.693569817252827,6.2693758042737615,3.6200657339895734,4.550169976607222,4.189735103732461,5.2513978660762195,4.273580739583031,3.870157038931767,7.672519015137244,4.819378959610772,5.054022563750339,3.8602014510292344,1.72,-2.33,2
PT-003,8.064493820379854,7.888738071767893,4.079205138062157,5.300558414676537,4.519489048064956,4.766645000165378,4.5186347102164826,6.48182254760715,6.489202220209653,4.1538312568352795,5.658035929682551,4.023325080023183,0.81,-2.46,2
PT-004,8.667090876003805,6.2322639008961795,3.9374511608812552,5.157488988695299,5.590773263996328,5.137094624951977,4.907481374089407,4.759117043528569,5.317182407706058,4.424124633284233,4.63148898323217,5.845697780975133,1.3,-1.3,2
PT-005,8.77489463165477,6.389567875709813,5.259267175515836,4.691934175666947,4.458462399755233,5.489341031072694,5.824799617996761,5.745024095292959,5.828625981421889,4.7526300993190285,5.265010745122851,5.780436101697887,1.05,-1.53,2
PT-006,8.116660609723768,7.651472818668946,4.114932020795178,4.043034700735463,5.650020657915358,6.0849920228566585,4.942391902735733,5.8028263183136195,6.789308820038107,4.4839041963159,5.2891164844067315,6.230429253172775,1.85,-1.23,2
PT-007,8.471339168712039,9.051714924651204,2.9042039167282043,5.657522003500179,5.069637654590537,4.760794119627306,5.073408621228402,3.4099448683192857,6.324262489729991,5.285690057209397,6.182315235793213,4.585383825381082,1.79,-2.69,2
PT-008,7.85320511768545,7.398594365132371,5.7323216941616595,5.263000887727747,4.576191836986369,5.410613946490685,5.077662039478432,5.774915992426312,5.938357524898118,4.737870282721786,4.686313477494274,3.829188041494305,0.68,-2.07,2
PT-009,8.736896221651662,8.008844217743912,5.004090765313968,4.812330293299882,3.8677034063596683,4.663483741787712,4.725828386778584,4.358178184622705,6.3709714306671925,5.323240685451631,6.508948720968425,5.139662250265471,1.31,-2.47,2
PT-010,8.70604031257821,7.740443267387066,3.4649830277607667,4.978788899640627,5.048184167952821,6.970593689988229,4.846111228175102,5.24123787386689,6.472230584235805,4.065057569904374,5.914258251612017,5.60154642614942,1.99,-1.44,2
PT-011,9.132825557634437,7.072490036164209,6.12223544874888,3.8785191497661753,5.469485675040216,6.752364500647983,4.207570939895449,4.546961816317783,6.579721092070113,4.597219476707041,3.759469255147094,5.054850379844821,2.08,-1.42,2
PT-012,7.650157029019116,8.178873944508144,4.264460612612957,6.239947524014031,4.373397366131011,4.742350787035459,5.650813773895736,4.015308546852836,6.681967947683304,6.045714203425943,3.714013412351018,5.147707086825843,1.15,-2.38,2
PT-013,8.707906235398738,8.425458297421848,4.010439431297534,3.9436347095325788,5.417553252493518,5.237587738586549,5.200394280276702,5.2771585675975805,5.955980222737208,5.185802957728803,5.234457978638945,4.428518865578906,1.49,-2.37,2
PT-014,9.992619608915806,8.17906633672943,4.046957202237881,5.525242886907064,4.220254663818142,5.629667682993961,5.926876463205923,4.343454145318631,7.270700903395458,5.330224741549198,5.657648127995592,6.517434386123158,2.15,-2.33,2
PT-015,8.303689507197703,7.197011068514008,4.2883884562995815,4.3473517720276496,4.938318632468716,5.272921579853315,5.2213526394640155,5.661746599228819,6.510401513502326,6.1628272617258535,4.788274533409635,7.176135333271695,1.21,-1.34,2
